,,kleebrick@mystorageops.com,05/01/2024,OPEN,Boxes with candy and flyers ordered and put in for sale houses monthly
,,kleebrick@mystorageops.com,05/02/2024,DONE,Lumber room cleared and customer Gary Abernathy called for his reservation
,,kleebrick@mystorageops.com,05/02/2024,OPEN,Follow up on Alan driving around to local business and talking to business owners
,,Storage.marketing,05/02/2024,OPEN,Does google ads create a report for us? Google Insights
,,Jovelyn Estrada,05/02/2024,OPEN,"Login to support@rethink email, need to have Kvin online for the verification code"
,,kleebrick@mystorageops.com,05/02/2024,DONE,"Join Chamber of Commerce, Get photos and property information of the site, backlink to rethingselfstorage website and gamma income website"
,,Jovelyn Estrada,05/09/2024,DONE,Create a form for tenants to sign - insurance - (Eform)
,,kleebrick@mystorageops.com,06/05/2024,OPEN,Is there a place where walkthrough reports are saved
,,BOTG,06/05/2024,OPEN,Carlos need to install spydergate
,,Jovelyn Estrada,06/05/2024,DONE,"Drone footage to be sent to Kevin, Storage Pug and Storage Marketing"
,,kleebrick@mystorageops.com,06/05/2024,DONE,We need to understand charge for live auction storage units available and payments in sitelink and storednge
,,Pat,06/05/2024,OPEN,"Meeting with storedge to discuss creating a website for mt holly (Nico, Pat and Jove)"
,,BOTG,06/06/2024,DONE,Carlos need to put the door in the office abd lock it
,,Jove,06/06/2024,DONE,"(2) Create a sign for the gate - reserve, rent (QR code)"
,,Jove,06/06/2024,DONE,"(2) Campaign Signs - xxx sq ft, Warehouse $5000"
,,Kevin,06/06/2024,OPEN,(10) Campaign signs - Rethink SS 
,,Cyril,06/20/2024,OPEN,Ask storage marketing if they are associated with Tadelar
,,Cyril,06/20/2024,DONE,Apple charges - confirm with storage.marketing
,,,,DONE,Sparefoot - decrease rent /inc multiple spend
,,,,DONE,Sparefoot - new photos
,,Jove,,DONE,GMB - remove old and bad photos
,,Jove,,DONE,GA - see how MH is doing 
,,Pat,07/11/2024,OPEN,Purchase delswin locks (AMZ) - $12 each
,,Pat,07/11/2024,OPEN,We need to find the units that has the cart
,,Kevin,07/11/2024,OPEN,Campaign Signs to Belmont Abbey Collage (Kevin Leebrick)
,,Kevin,07/11/2024,OPEN,parking spaces need to be painted
