Timestamp,Name,"Highs - 
Provide Specific Info: Date, Description, Name of the Facility ","Lows - Provide Specific Info: Date, Description, Name of the Facility ",Notes (In case you have additional notes),Property
9/21/2025 7:16:28,Patrick,"environmental phase 2 is done, just need me to pay to get it back, ","need/want to reassess the cost of the build and to renegotiate price.  The town said no to self storage so the only path currently is warehouse- and when warehouse is done, ask to subdivide to mini warehouse.",,"Rock Hill, South Carolina"
9/22/2025 1:15:06,Xcyllyn,"97% (4 units vacant out of 140) occupancy rate for climate controlled units
Our non-climate controlled units are now available for lease. ",Jamie Wade - moved out due to handling. I was not able to manage the situation regarding their complain about the their lost and replaced lock. ,,"Hamshire, Texas"
10/10/2025 6:38:42,Patrick,"More move ins, and expected a couple more mid month- hopefully we can get to $16k this month.","RV move outs, and no news inf new news if old leads for Boat and RV are filling up",,"Hamshire, Texas"
10/10/2025 6:40:33,Patrick,We painted the back warehouse outside roller doors and front doors to match other parts of our building - we have a possible artist taking the back optimally- and still the bitcoin mining person for november 1st.,the lights taking too long... the vertical lift is delayed 6-8 weeks which is now coming after our install of self storage from boxwell for 2nd floor.,,"Mt Holly, North Carolina"
10/10/2025 6:41:59,Patrick,We seem to have a good loan going with Neeral and the bank is very interested in Self storage or Flex,"phase 2 came back and it is very bad - so chemicals in the ground - it is a brownfield- so we need to learn more w enviromental co. the law firm and then the seller
",,"Rock Hill, South Carolina"
10/10/2025 6:43:46,Patrick,Delivery came perfect on 10/9 and will be building this out for 50 units over the next 2 -3 weeks and will be doing asphalt soon as well.... Building permit submitted 10/10 and we have a GC lisa who is economical for our work.,"The loan is contigent on a building permit for total project so arch, engineer, feasibility, are all needed to get that loan.",,"Fort Lawn, South Carolina"
10/23/2025 8:07:43,Jove,"New Warehouse customer, Lease agreement signed, $10/sqft",NA,NA,"Mt Holly, North Carolina"
10/23/2025 8:32:57,Jove,NA,October 2025 Revenue less than September 2025.,,"Mt Holly, North Carolina"
10/23/2025 8:37:11,Jove,NA,call volume down by 24% ,,"Mt Holly, North Carolina"
11/10/2025 6:32:46,Patrick,"WE have our first customers- we have done about 70% of the units , still need to do fire barrier",we submitted plans and still not sure if we need to get a architect or not,,"Fort Lawn, South Carolina"
11/20/2025 11:10:52,Patrick,"we have our first customer - we have the units about 80%-90% completed , we just need to wait for inspections on fire barrier and life and saftery before being open for business... likely december or january",.,,"Fort Lawn, South Carolina"
11/10/2025 6:33:30,Patrick,"new team member elaine-call center and property management
",money is light,,Gamma Income LLC
11/10/2025 6:22:10,Patrick,"We have seen increased move ins last month and this month :) ... site review, new door pin pads- outside signage for new units.",tax appraises us at $2.2M which we are trying to push that down to our sales price to decrease taxes 20-30%.,,"Hamshire, Texas"
11/20/2025 9:52:54,Patrick,"We are seeing the highest sales of the year likely, highest occupancy, and building toward consistently above $17k ..... We are getting 100% full again for climate controlled- starting to see our outside units start to get more tenants","break in, back door doesnt work, new loan is higher",,"Hamshire, Texas"
11/10/2025 6:30:09,Patrick,"We received all the boxwell 176 units :).... WE also decided to use our crew for construction- not Boxwell, which gives a 50% savings :) or $20k or so.",some materials missing - not increasing rents,,"Mt Holly, North Carolina"
11/20/2025 9:56:40,Patrick,we are finishing the first 49 units upstairs and 1-4 days ahead of schedule at this point.... We also have got this done approx $20k under budget from proposed installers - using our crew vs manufatureer ,no warehousing prospect anymore.... higher expenses with new $400k loan,,"Mt Holly, North Carolina"
11/10/2025 6:31:01,Patrick,"we are looking for other properties, while at the same time negotiating a different sales price","we put in alot oof time effort and money into this project, and we may have to move on to something better",,"Rock Hill, South Carolina"
12/20/2025 5:20:03,Patrick,we are 100% full and doing rent increases on about 30% of customers in January - which should boost revenue and get some people out to give space- we are on a waitlist for the first time ever,we have 3 auctions happening in December and 4 in january- which is higher than normal-  but get units available to rent is good and get our arrear managmemnt much improved would be good as well,,"Hamshire, Texas"
12/20/2025 5:24:26,Patrick,"We are now 100% complete with the 2nd floor , this is a huge step in our business plan, largely completed now.  approximately 500 self storage units in Mt Holly and 2 warehouses. .... showing the back warehouse to a couple new tenants that have shown interest for vintage car storage",the back being empty remains a reason whywe are light in revenue - we need to get that full,"2025 insurance we saved about 12%, same carrier, just owning it longer and less premiums.","Mt Holly, North Carolina"
12/20/2025 5:26:23,Patrick,"Big possibility for lease w option to buy at $4M , this is the biggest project that we have ever done, but also biggest opportunity.... need to make a great video that explains it.",no seller financing option ( Yet! ) ,,"Rock Hill, South Carolina"
12/20/2025 8:16:32,Patrick,"Had a call with Broker and Existing owner and the conversation went really well that essentially I will take about one to two floors or 20 or 40,000 ft.² and possibly the third floor to rent out… Next step is talking to zoning to see if I can lease that space",he will not give me the option to do seller financing and I don’t think it is possible to do bank financing because possible environmental or income is not at the right level yet,,"Rock Hill, South Carolina"
12/20/2025 8:26:16,Patrick,Getting customers that find us online before we are open is good - getting 4-5 customers in December. Great relationship between GC and local musicipqliry and photos and starting w the Chris wood engineer for site plans attached ,We have been pausing work as we wait for inspectors to come .  ,,"Fort Lawn, South Carolina"
12/20/2025 8:31:39,Patrick,"Great success with lease w option to buy for the lowest rent possible and I pay money to fill the place up w self storage …,, great Arthur ai agent success and building the engine of our company …. Getting year end tax docs together and getting installs done affordably w Carlos is great …. ",Needing and wanting better relationship w banks or lenders as we continue to give a ton of info to live oak bank again ,,Gamma Income LLC
,,taking pic of this doc file:///var/folders/1h/9mjgd0x96mg8sfh83ws7fxz40000gn/T/TemporaryItems/NSIRD_screencaptureui_eCUaCu/Screenshot%202025-08-17%20at%2010.05.07%E2%80%AFAM.png
,,Getting the yardi report of all sales for 2025... Highlighting any comps that are appropriate.  Discussing in intro... Maybe a video from me about where we are at if it is at 2 years now... 12/1/26/
,,also a storedge 2026 self storage industry outlook





,,Painted for the back warehouse

,,Started moving lights for energy efficiency

,,Security deposit for white warehouse for 3 years w options to extend to 9 years -5% increases and probably starting at $10 sq Ft which is good for warehouse

,,Vertical lift we are purposefully delaying to find a better price

,,The high season is over for move ins (maybe a chart that is in sitelink that shows year over year month over month data )

,,Texas

,,Great month of move ins - highest since x date

,,"First non climate , with 5 think"

,,Arrears at 4-5%

,,Saved money on choosing Mariah as the GC ($30K in savings)
,,Catawba - Carlos doing the installations saved us $40K
